Index,课程名,节次/周,节次/日,周次,上课地点,授课教师,教学班组成,学分,具体时间
1,目标检测与识别应用,周一,3-4,3-14周,科技园C2栋106,陈晓琳,人工智能2201,4.0,10:10-11:50
2,大学物理基础,周一,5-6,3-9周,行毅楼（2号）2310,张小欧,人工智能2201,2.0,13:30-15:10
3,大学物理基础,周一,5-6,10-16周,二号实训楼B502,张小欧,人工智能2201,2.0,13:30-15:10
4,机器学习实训,周一,7-11,1-2周,资讯楼109,朱怡文迪,人工智能2201,2.0,15:30-20:25
5,Python web应用开发,周二,1-2,3-18周,资讯楼308,张泽,人工智能2201,4.0,8:00-9:40
6,人工智能数据工程 ,周二,3-4,3-18周,资讯楼107,夏嵬,人工智能2201,4.0,10:10-11:50
7,大学语文,周二,5-6,3-15周,行健楼（1号）中教室4,纪可妹,人工智能2201;人工智能2202,2.0,13:30-15:10
8,机器学习实训,周二,5-11,1-2周,资讯楼109,朱怡文迪,人工智能2201,2.0,13:30-20:25
9,就业指导,周三,5-6,3-10周,行毅楼（2号）阶教8,吴朝晖,人工智能2201;人工智能2202,1.0,13:30-15:10
10,机器学习实训,周三,5-11,1-2周,资讯楼109,朱怡文迪,人工智能2201,2.0,13:30-20:25
11,形势与政策（四）,周三,7-8,7-9周,行远楼（3号）阶教12,吴跃本,人工智能2201;人工智能2202,0.5,15:30-17:10
12,目标检测与识别应用,周四,1-2,3-18周,科技园C2栋106,陈晓琳,人工智能2201,4.0,8:00-9:40
13,人工智能数据工程 ,周四,3-4,3-14周,资讯楼208,夏嵬,人工智能2201,4.0,10:10-11:50
14,大学语文,周四,5-6,3周,行健楼（1号）中教室3,纪可妹,人工智能2201;人工智能2202,2.0,13:30-15:10
15,机器学习实训,周四,7-11,1-2周,资讯楼109,朱怡文迪,人工智能2201,2.0,15:30-20:25
16,Python web应用开发,周五,3-4,3-14周,资讯楼308,张泽,人工智能2201,4.0,10:10-11:50
